0-massfield-mass-0-ExternalShear-gamma_ext,0-massfield-mass-0-ExternalShear-phi_ext,1-galaxy-mass-0-SIE-theta_E,1-galaxy-mass-0-SIE-q,1-galaxy-mass-0-SIE-phi,1-galaxy-mass-0-SIE-center_x,1-galaxy-mass-0-SIE-center_y,3-galaxy-light-0-IrregularGrid-lambda,3-galaxy-light-0-IrregularGrid-l_corr,2-galaxy-mass-0-PixelatedRegularGridPotential-lambda,2-galaxy-mass-0-PixelatedRegularGridPotential-l_corr,probability_weights
0.077050,-54.161279,1.081762,0.700537,46.653106,-0.072551,-0.060338,5.735794,0.923685,4.605050,0.360813,0
0.057721,-40.275890,0.918898,0.968594,52.743478,0.074777,-0.096335,0.405137,0.428563,82314.812089,0.040142,0
0.001852,-37.967872,1.012340,0.844964,63.129435,-0.091150,0.090528,0.069628,0.504120,919.000200,0.661404,0
0.061817,-46.629166,0.956521,0.767789,32.953899,0.050981,-0.070253,7.968182,0.077884,3.445419,0.118898,0
0.046746,-40.076151,0.950518,0.799009,36.975298,0.036584,0.042502,0.518462,0.041690,84.363667,0.634650,0
0.058125,-49.647114,0.993131,0.740749,38.072574,-0.064262,-0.028440,0.091671,0.439037,14.436070,0.123935,0
0.052245,-40.396666,0.938654,0.954631,59.602556,0.084867,-0.057262,0.023053,0.257100,352.066176,0.278776,0
0.089511,-59.239616,1.033658,0.935834,53.933482,-0.031047,0.004822,0.250546,0.963032,20109.757549,0.752064,0
0.044264,-47.670767,1.013045,0.764424,44.302351,-0.047863,0.080719,1.394737,0.697224,0.093541,0.366235,0
0.036240,-53.804994,0.962519,0.992163,46.174698,-0.079056,0.003158,65.267328,0.157016,8.981618,0.047452,0
0.002751,-46.436158,1.012642,0.821866,46.978540,-0.009808,-0.026151,2.751451,0.198329,37197.548725,0.341348,0
0.033346,-57.548738,0.932722,0.940449,30.517566,0.096056,-0.087596,0.028805,0.474848,8417.893803,0.351891,0
0.057635,-42.632026,0.973093,0.994324,45.281734,0.029985,0.005398,0.002652,0.290070,118.986711,0.393325,0
0.092507,-53.267331,0.995292,0.901483,40.143805,0.071813,0.050675,0.024249,0.211226,128.642625,0.384181,0
0.018721,-45.007356,0.962770,0.828265,42.875638,-0.057217,-0.070806,0.039281,0.104330,5472.406781,0.049460,0
0.034662,-39.689941,1.080558,0.782184,31.518846,-0.044365,-0.080073,0.337117,0.135951,5416.960986,0.448615,0
0.005313,-56.172929,0.968868,0.925448,44.766555,-0.065283,0.068015,38.855383,0.087899,5201.295654,0.080194,0
0.019274,-38.897673,0.977118,0.937789,36.490011,-0.020701,0.086452,0.267128,0.584870,145.130570,0.135858,0
0.056444,-59.077070,1.020899,0.734543,58.014388,-0.099311,-0.000646,0.347291,0.176615,14880.868657,0.169183,0
0.038820,-41.397325,0.937346,0.939062,32.623880,0.030887,-0.041663,0.988190,0.202091,6832.279736,0.348066,0
0.036964,-41.841218,0.886399,0.882911,46.785116,0.091801,0.009967,6.446860,0.110040,70.139323,0.124362,0
0.086992,-49.153579,0.889425,0.940946,46.149068,-0.012567,0.015664,889.098614,0.539214,1047.383480,0.048580,0
0.016231,-45.007513,0.951932,0.971862,36.967263,-0.012679,0.007632,1.980210,0.980317,70995.096912,0.096776,0
0.056597,-49.546794,1.054511,0.890291,50.278246,0.054937,-0.035653,0.086937,0.702594,6700.977177,0.611511,0
0.045625,-55.820621,0.890501,0.856376,53.183513,-0.043084,-0.002553,11.915518,0.946786,62.604900,0.691685,0
0.086226,-52.894232,1.145333,0.736290,34.343231,0.068885,0.057793,629.194664,0.108274,5975.532393,0.064017,0
0.065574,-46.531974,0.962748,0.933534,40.878801,0.071510,-0.047718,1.258879,0.517421,5.817012,0.050698,0
0.038675,-57.495086,0.918818,0.909932,67.461941,0.038724,-0.075132,12.909670,0.789457,11.434041,0.063005,0
0.093233,-38.203896,0.907344,0.836718,51.682310,-0.061651,0.046347,558.400193,0.380956,2.085519,0.079518,0
0.005246,-48.294651,0.957817,0.902777,43.177025,0.071746,-0.057825,0.020243,0.390383,4931.242141,0.064278,0
0.068920,-40.988467,1.065188,0.872540,52.460170,-0.055568,-0.036897,1.781566,0.055449,907.859289,0.651715,0
0.030591,-46.328800,0.937017,0.959102,31.380727,-0.053695,0.004568,1.472147,0.617814,408.466518,0.276122,0
0.040582,-56.000533,0.988092,0.823850,63.614876,0.035378,0.072415,0.683861,0.862518,8038.964740,0.245808,0
0.069833,-50.261653,0.953778,0.872146,43.908560,0.055617,0.059963,0.697148,0.278677,61.614322,0.185802,0
0.054596,-58.985344,0.978503,0.899714,33.884528,-0.093016,-0.081473,0.777749,0.101237,149.395210,0.365118,0
0.073955,-52.452330,0.967815,0.966077,60.750436,-0.010977,-0.069424,0.006031,0.102837,3546.550942,0.152550,0
0.080790,-51.393414,1.128923,0.729392,40.990937,-0.054681,-0.044663,150.737658,0.139393,1564.684051,0.088345,0
0.047999,-40.216949,1.045050,0.701963,49.039857,-0.053938,-0.004401,0.023034,0.859389,127.507819,0.250358,0
0.060555,-48.951585,0.963839,0.791400,44.004931,-0.035792,-0.013030,0.484399,0.087925,190737.741110,0.948739,0
0.054677,-43.326288,0.982451,0.725930,31.519406,-0.015813,-0.027725,7.326471,0.224424,0.819692,0.190483,0
0.039657,-35.318094,1.018716,0.764636,49.141188,-0.079146,-0.030621,4.842021,0.300565,0.722394,0.194039,0
0.020309,-57.837520,1.008968,0.719878,68.714509,0.014949,0.051223,278.573992,0.462363,3336.106075,0.171224,0
0.059443,-47.247628,1.059138,0.886092,63.930817,-0.061162,-0.002404,6.109771,0.375179,10960.664478,0.055928,0
0.056657,-53.159135,0.966119,0.707782,68.156950,0.081740,-0.078541,0.165242,0.069840,5277.386531,0.350604,0
0.040507,-58.156205,0.995241,0.727087,45.461793,0.055253,-0.087251,0.003566,0.511596,2928.954290,0.224100,0
0.074206,-37.912597,1.061545,0.847646,38.264680,-0.038592,0.028272,890.834268,0.115895,18840.362903,0.104058,0
0.019864,-37.465914,1.072375,0.719822,40.315280,0.071793,0.011764,38.102129,0.992132,54.158102,0.056105,0
0.084605,-58.449728,0.949029,0.814574,69.871016,0.022848,-0.043048,0.009738,0.313867,3494.168962,0.236485,0
0.004835,-44.040973,0.937863,0.936948,57.850981,0.092559,-0.054411,147.710538,0.810493,164.025714,0.108606,0
0.020312,-45.880814,1.039170,0.739111,38.194170,-0.015359,0.041842,0.221589,0.150832,25824.724888,0.577043,0
0.033991,-47.056674,1.083544,0.739514,35.277700,0.077684,-0.076474,9.984873,0.329956,306.130248,0.360981,0
0.048189,-44.560771,1.063297,0.733659,54.580736,-0.081341,-0.005619,1.246179,0.139014,2833.197262,0.305755,0
0.052926,-57.125800,0.975763,0.770828,34.237075,0.055141,0.034057,0.239971,0.923164,13.291322,0.438210,0
0.004111,-36.163480,1.014926,0.786249,48.298965,-0.038751,0.056914,473.418695,0.793823,0.353585,0.111917,0
0.027871,-52.745204,0.982764,0.837442,45.138950,0.057897,-0.025887,3.214703,0.063516,391032.125477,0.169535,0
0.043976,-41.748658,1.026996,0.869457,53.192358,0.090320,-0.090509,0.111591,0.468410,49.685735,0.495145,0
0.049370,-58.472060,0.966371,0.825838,41.597385,0.020883,0.007833,244.451486,0.356567,0.214887,0.529802,0
0.089682,-35.374854,0.892022,0.895485,38.645103,0.042999,0.019310,15.547684,0.127036,106.444249,0.438419,0
0.021114,-38.587998,0.994265,0.854258,49.497106,-0.026942,-0.014962,0.625077,0.218332,6.444291,0.091040,0
0.049742,-51.377842,0.913559,0.937536,54.796169,-0.067488,-0.082832,69.896288,0.385250,5382.567145,0.113324,0
0.088969,-50.841420,0.895803,0.863482,46.600280,0.073716,-0.069590,23.412232,0.498709,4700.881908,0.099568,0
0.035973,-38.293567,0.927857,0.883257,54.274247,0.003057,0.009336,48.820248,0.130389,188.195459,0.067737,0
0.013355,-46.511794,0.972228,0.843462,58.111389,-0.027368,-0.088723,0.071790,0.423451,290.058231,0.308451,0
0.018126,-52.287643,0.975230,0.942879,63.070912,0.035250,-0.033400,228.070003,0.122507,12.117536,0.405742,0
0.065025,-46.614214,1.017488,0.708149,33.301082,-0.063344,-0.081674,10.486068,0.219760,1350.904511,0.744227,0
0.036912,-39.603920,0.973793,0.826944,40.536870,-0.077896,-0.066229,0.381313,0.067980,4738.865776,0.256937,0
0.056086,-37.876764,0.998542,0.920469,57.430429,-0.048343,-0.037446,0.091140,0.188831,45120.377191,0.754448,0
0.028747,-39.641715,0.939966,0.788114,31.996012,0.019411,-0.056199,11.847794,0.588135,2.188372,0.800067,0
0.034380,-43.960028,0.918495,0.928001,55.518675,-0.039019,0.079898,628.451598,0.148629,156.282461,0.509367,0
0.062979,-41.122423,0.916807,0.781453,69.943612,0.084901,-0.031222,3.200899,0.373410,26.777627,0.141443,0
0.005233,-55.326984,1.043368,0.710337,49.954979,0.080088,-0.007183,0.156398,0.269486,58.774669,0.504734,0
0.056078,-36.919962,1.033936,0.884992,52.352069,-0.091425,-0.092537,1.456775,0.177795,213.594075,0.429972,0
0.013754,-55.365587,0.969134,0.713363,42.300138,0.092124,-0.054686,9.305600,0.056574,31.074923,0.082628,0
0.013286,-54.530312,0.985926,0.885707,41.464373,0.003823,0.080502,25.078518,0.972955,11.991647,0.225526,0
0.039693,-51.343921,1.043629,0.791266,46.266538,-0.046696,-0.013815,111.315925,0.791161,87707.953031,0.468632,0
0.022582,-50.946887,0.959012,0.715379,69.068108,-0.084341,-0.062004,0.455651,0.112416,623.794529,0.198936,0
0.075947,-35.688742,0.976069,0.817118,55.981330,0.084576,-0.098122,2.842531,0.138097,91.873217,0.157528,0
0.060112,-51.097577,0.990263,0.883297,47.178087,0.097862,-0.019600,0.135774,0.094510,717.230507,0.190459,0
0.023211,-50.755839,1.053588,0.780537,68.476727,-0.004005,0.011566,56.763610,0.411198,142.001013,0.513924,0
0.077622,-44.994750,1.000691,0.893112,34.404399,0.007905,0.082929,362.279057,0.062296,0.895881,0.148272,0
0.037077,-37.506164,1.070477,0.765972,44.853521,-0.000482,-0.012973,19.555482,0.851164,16537.077642,0.092394,0
0.040353,-38.851977,0.999674,0.862258,43.953500,-0.067413,-0.034006,0.175850,0.352126,5.861449,0.404120,0
0.047386,-49.285097,1.072902,0.774657,49.060543,0.084257,-0.012550,38.649686,0.783641,4259.083483,0.262831,0
0.040990,-49.421452,0.953236,0.853260,47.300918,-0.084197,-0.044156,0.885156,0.365892,5376.310353,0.561716,0
0.031717,-45.783592,0.931888,0.957259,56.238427,-0.025511,-0.076703,319.480065,0.070691,2892.041554,0.268182,0
0.076749,-50.636709,1.052348,0.841624,69.534676,-0.059565,0.072006,20.789063,0.241976,379.524108,0.510630,0
